Model,MAE,RMSE,R²,MAPE
Random_Forest,26.04724964395414,38.32274964105386,0.8798017046555074,12.279794562970595
Ridge_Regression,23.269709939859368,34.1051811220108,0.9048024645542271,9.553255734463182
Optimized_CNN,29.776601721741272,44.04986106562085,0.8411913804866105,12.39102459642137
